2020-03-29 09:49:12,544 WARNING  From //anaconda3/envs/vesper-0.4.8/lib/python3.6/site-packages/vesper/mpg_ranch/nfc_coarse_classifier_3_0/dataset_utils.py:25: The name tf.FixedLenFeature is deprecated. Please use tf.io.FixedLenFeature instead.

2020-03-29 09:49:13,128 ERROR    Preset manager could not read preset file "/Volumes/Erebus/msgr-vesper-archive/Presets/Clip Album Commands/._Calls.yaml".
2020-03-29 09:49:13,138 ERROR    Preset manager could not read preset file "/Volumes/Erebus/msgr-vesper-archive/Presets/Clip Album Commands/._Coarse.yaml".
2020-03-29 09:49:13,148 ERROR    Preset manager could not read preset file "/Volumes/Erebus/msgr-vesper-archive/Presets/Clip Album Settings/._Resizing Clips, Labels Below.yaml".
2020-03-29 09:49:13,153 ERROR    Preset manager could not read preset file "/Volumes/Erebus/msgr-vesper-archive/Presets/Detection Schedule/._Ithaca 2019.yaml".
2020-03-29 09:49:13,155 ERROR    Preset manager could not read preset file "/Volumes/Erebus/msgr-vesper-archive/Presets/Station Name Aliases/._Station Name Aliases.yaml".
2020-03-29 09:49:13,156 INFO     Job started for command "import" with arguments:
2020-03-29 09:49:13,156 INFO         {
2020-03-29 09:49:13,156 INFO             "importer": {
2020-03-29 09:49:13,156 INFO                 "name": "Recording Importer",
2020-03-29 09:49:13,156 INFO                 "arguments": {
2020-03-29 09:49:13,156 INFO                     "paths": [
2020-03-29 09:49:13,156 INFO                         "/Volumes/Erebus/msgr-vesper-archive/Recordings"
2020-03-29 09:49:13,156 INFO                     ],
2020-03-29 09:49:13,156 INFO                     "recursive": false,
2020-03-29 09:49:13,156 INFO                     "recording_file_parser": {
2020-03-29 09:49:13,156 INFO                         "name": "MPG Ranch Recording File Parser",
2020-03-29 09:49:13,157 INFO                         "arguments": {
2020-03-29 09:49:13,157 INFO                             "station_name_aliases_preset": "Station Name Aliases"
2020-03-29 09:49:13,157 INFO                         }
2020-03-29 09:49:13,157 INFO                     }
2020-03-29 09:49:13,157 INFO                 }
2020-03-29 09:49:13,157 INFO             }
2020-03-29 09:49:13,157 INFO         }
2020-03-29 09:49:13,360 INFO     Found 2 new recordings and 19 old recordings at the specified paths.
2020-03-29 09:49:13,360 INFO     The new recordings will be imported.
2020-03-29 09:49:13,370 INFO     Imported recording MSGR / PC / start 2020-03-28 00:30:00+00:00 / duration 9.000 h with files:
2020-03-29 09:49:13,370 INFO         MSGR_2020-03-28_00.30.00_Z.wav
2020-03-29 09:49:13,370 INFO     Imported recording MSGR / PC / start 2020-03-29 00:30:00+00:00 / duration 9.000 h with files:
2020-03-29 09:49:13,370 INFO         MSGR_2020-03-29_00.30.00_Z.wav
2020-03-29 09:49:13,375 INFO     Job completed.
