2020-10-30 09:44:01,834 INFO     Job started for command "detect" with arguments:
2020-10-30 09:44:01,835 INFO         {
2020-10-30 09:44:01,835 INFO             "detectors": [
2020-10-30 09:44:01,837 INFO                 "Old Bird Thrush Detector Redux 1.1"
2020-10-30 09:44:01,837 INFO             ],
2020-10-30 09:44:01,838 INFO             "stations": [
2020-10-30 09:44:01,838 INFO                 "MSGR"
2020-10-30 09:44:01,839 INFO             ],
2020-10-30 09:44:01,839 INFO             "start_date": "2020-10-29",
2020-10-30 09:44:01,839 INFO             "end_date": "2020-10-30",
2020-10-30 09:44:01,839 INFO             "schedule": "",
2020-10-30 09:44:01,839 INFO             "defer_clip_creation": false
2020-10-30 09:44:01,839 INFO         }
2020-10-30 09:44:01,850 INFO     This command will process recordings for 1 station-night.
2020-10-30 09:44:01,850 INFO     Processing recordings for station-night 1 of 1 - "MSGR 2020-10-29"...
2020-10-30 09:44:01,852 INFO         Processing recording 1 of 1 - "MSGR / PC / start 2020-10-29 23:21:00+00:00 / duration 10.433 h"...
2020-10-30 09:44:01,856 INFO             Running detector on file "/Volumes/Erebus/msgr-vesper-archive/Recordings/MSGR_2020-10-29_23.21.00_Z.wav"...
2020-10-30 09:45:36,191 INFO             Created 4479 clips from detector "Old Bird Thrush Detector Redux 1.1".
2020-10-30 09:45:36,191 INFO             Ran 1 detector on 37560 seconds of 1-channel audio in 94 seconds, 398 times faster than real time.
2020-10-30 09:45:36,250 INFO     Job completed.
